7.59056	-5.73407	1.32406	-2.5032	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972
7.63736	-5.87383	1.21397	-2.47767	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951
7.72003	-5.98661	1.25902	-2.41606	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948
7.81722	-6.16439	1.64896	-2.81391	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979
7.92345	-6.27716	1.71353	-2.73871	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787
7.99422	-6.42748	1.49906	-2.61436	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739
8.1154	-6.521	1.60628	-2.48069	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737
8.1696	-6.65078	1.44258	-2.40339	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787
8.25515	-6.77055	1.46136	-2.37143	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787
8.3192	-6.91025	1.4454	-2.42114	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993
8.42347	-7.00856	1.51509	-2.32963	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993
8.47596	-7.12696	1.43714	-2.32227	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018
8.54805	-7.24328	1.43758	-2.32271	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018
8.64447	-7.4058	1.71733	-2.63626	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712
8.73127	-7.53843	1.71898	-2.63761	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712
8.78087	-7.66004	1.33694	-2.34316	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199
8.85637	-7.7792	1.34513	-2.31945	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988
8.92119	-7.91542	1.40646	-2.43648	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973
8.98251	-8.04183	1.38389	-2.45017	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973
9.00335	-8.14344	1.04443	-2.18521	8.8564	-8.01424	9	-8.15	0.909309	-1.8186
9.06304	-8.25739	1.05192	-2.16966	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859
9.13253	-8.40542	1.23023	-2.40261	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119
9.1793	-8.53804	1.19133	-2.43717	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117
9.21139	-8.65831	0.945125	-2.25125	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819
9.25991	-8.78035	0.937634	-2.24821	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899
9.37929	-8.99534	1.63742	-3.02037	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928
9.45613	-9.15037	1.62412	-3.03141	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928
9.48599	-9.26594	1.23065	-2.67965	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917
9.55219	-9.38655	1.24675	-2.64672	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917
9.57824	-9.50081	1.03899	-2.48707	9.47534	-9.42627	9.55	-9.5	0	-3.00023
9.60297	-9.64318	0.968323	-2.53841	9.54779	-9.64959	9.55	-9.65	0	-3.0002
9.65937	-9.80122	1.06766	-2.70467	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997
9.69361	-9.94467	1.01941	-2.72996	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997
9.70473	-10.0643	0.738095	-2.47835	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969
9.75135	-10.1837	0.758451	-2.43678	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969
9.79176	-10.3297	0.766668	-2.50546	9.92627	-10.4745	9.75	-10.3	0	-3.00065
9.80502	-10.4702	0.701399	-2.54894	9.75524	-10.4732	9.75	-10.45	0	-3.00063
9.83451	-10.6245	0.752224	-2.67109	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451
9.87055	-10.7695	0.74	-2.66793	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448
9.88097	-10.9013	0.526708	-2.48039	9.88465	-10.9383	9.85	-10.9	0	-2.73074
9.88584	-11.0487	0.464764	-2.51346	9.83614	-11.041	9.85	-11.05	0	-2.73073
9.89832	-11.1853	0.457083	-2.56885	9.83952	-11.1692	9.85	-11.2	0	-2.99965
9.89257	-11.3339	0.380907	-2.6244	9.84568	-11.3496	9.85	-11.35	0	-2.99961
9.90405	-11.479	0.362368	-2.66526	9.87961	-11.5637	9.85	-11.5	0	-2.99843
9.89142	-11.6292	0.282078	-2.71394	9.83206	-11.6307	9.85	-11.65	0	-2.99843
9.85435	-11.714	-0.156794	-2.2079	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061
9.81327	-11.8423	-0.243806	-2.2596	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059
9.79289	-11.9698	-0.225038	-2.35147	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119
9.73296	-12.1203	-0.355588	-2.44162	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116
9.6908	-12.2276	-0.567498	-2.21201	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981
9.62476	-12.3553	-0.665722	-2.26214	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979
9.54455	-12.4199	-0.988908	-1.86509	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805
9.44694	-12.5397	-1.11671	-1.93893	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804
9.3751	-12.6579	-1.14344	-1.97409	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953
9.28217	-12.7768	-1.2218	-2.00578	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954
9.16915	-12.8102	-1.68551	-1.35335	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629
8.99313	-12.9271	-1.93058	-1.48857	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627
8.85816	-12.9878	-2.08568	-1.31424	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651
8.71763	-13.0659	-2.15296	-1.33404	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651
8.5794	-13.1039	-2.37081	-1.03971	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005
8.42461	-13.1685	-2.46592	-1.07686	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995
