px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
10.2506	-10.5126	-2.79225	2.20435	0.149472	9.88465	-10.9383	7.1	-4.7	0.908302	-2.72489	7.90505e-323
10.299	-10.8332	-2.76556	2.15494	0.109334	9.83952	-11.1692	7.14735	-4.86125	1.47701e+15	7.15	7.90505e-323
10.3233	-11.1589	-2.74498	2.097	0.0670348	9.87961	-11.5637	7.25	-5	1.81907	-2.72861	7.90505e-323
10.2259	-11.5082	-2.65829	1.97701	-0.0203876	9.85311	-11.8523	7.30424	-5.15404	1.47701e+15	7.35	7.90505e-323
10.1675	-11.83	-2.62035	1.89007	-0.077095	9.69694	-11.9706	7.4	-5.3	0.908194	-2.7246	7.90505e-323
10.0202	-12.1876	-2.56626	1.75044	-0.170226	9.72311	-12.3964	7.44737	-5.45308	1.47701e+15	7.45	7.90505e-323
9.75074	-12.5452	-2.49406	1.55011	-0.304587	9.39039	-12.3902	7.55	-5.55	1.81974	-1.81974	7.90505e-323
9.55578	-12.8596	-2.46501	1.40646	-0.38683	9.34456	-12.7106	7.64356	-5.66706	1.47701e+15	7.65	7.90505e-323
9.13032	-13.2149	-2.42821	1.11702	-0.574916	9.15326	-13.0031	7.7	-5.8	0.90983	-2.72951	7.90505e-323
8.7799	-13.456	-2.4155	0.900008	-0.695769	8.71632	-12.9613	7.7342	-5.95374	1.47701e+15	7.75	7.90505e-323
8.41584	-13.6404	-2.42027	0.677769	-0.81382	8.54518	-13.1702	7.85	-6.1	1.9986	-2.9979	7.90505e-323
8.0166	-13.7499	-2.44004	0.432474	-0.942711	8.22926	-13.1698	7.95703	-6.24328	1.47701e+15	7.95	7.90505e-323
7.67616	-13.7783	-2.44781	0.23922	-1.01793	7.82914	-13.0525	8.05	-6.35	1.81738	-1.81739	7.90505e-323
7.47185	-13.7947	-2.4193	0.158339	-1.00137	7.66146	-13.3079	8.15891	-6.45335	1.47701e+15	8.15	7.90505e-323
7.18056	-13.748	-2.41975	0.00201098	-1.04345	7.21108	-13.0985	8.2	-6.6	0.909293	-2.72787	7.90505e-323
6.86121	-13.6305	-2.44594	-0.196962	-1.1164	6.88472	-12.9588	8.25411	-6.74791	1.47701e+15	8.25	7.90505e-323
6.60889	-13.5264	-2.45324	-0.339695	-1.13905	6.77424	-13.2337	8.35	-6.85	1.81994	-1.81993	7.90505e-323
6.38597	-13.4176	-2.41199	-0.442561	-1.11801	6.40137	-13.0799	8.44494	-6.95805	1.47701e+15	8.45	7.90505e-323
6.15553	-13.27	-2.40054	-0.569768	-1.11862	6.10143	-13.0076	8.5	-7.1	1.00006	-3.00018	7.90505e-323
5.91899	-13.0579	-2.46267	-0.738829	-1.15968	5.79854	-12.8478	8.54925	-7.24433	1.47701e+15	8.55	7.90505e-323
5.74469	-12.861	-2.42217	-0.857869	-1.15068	5.50547	-12.5721	8.65	-7.4	1.99807	-2.99712	7.90505e-323
5.55053	-12.628	-2.46347	-0.995214	-1.15603	5.27506	-12.4782	8.73559	-7.5421	1.47701e+15	8.75	7.90505e-323
5.39282	-12.3974	-2.46795	-1.11713	-1.14891	5.04446	-12.3808	8.8	-7.65	0.909955	-1.8199	7.90505e-323
5.23668	-12.1554	-2.50618	-1.2258	-1.13541	4.75061	-11.9803	8.84538	-7.75497	1.47701e+15	8.85	7.90505e-323
5.08707	-11.9239	-2.54911	-1.31173	-1.10929	4.69113	-11.9084	8.9	-7.9	0.999086	-2.9973	7.90505e-323
5.02306	-11.6508	-2.5327	-1.43804	-1.1106	4.59746	-11.6205	8.95966	-8.0381	1.47701e+15	8.95	7.90505e-323
4.72341	-11.4613	-2.66	-1.38566	-0.989042	4.47442	-11.3673	9	-8.15	0.909309	-1.8186	7.90505e-323
4.72643	-11.171	-2.62971	-1.52013	-1.00903	4.43713	-11.024	9.05896	-8.24314	1.47701e+15	9.05	7.90505e-323
4.65564	-10.8901	-2.64916	-1.59326	-0.981892	4.44745	-10.786	9.1	-8.4	1.0004	-3.00119	7.90505e-323
4.6169	-10.6096	-2.65887	-1.66845	-0.959213	4.46329	-10.5756	9.15332	-8.54857	1.47701e+15	9.15	7.90505e-323
4.62701	-10.32	-2.66487	-1.75685	-0.947036	4.51895	-10.2367	9.2	-8.65	0.909508	-1.819	7.90505e-323
4.65416	-10.0346	-2.67079	-1.83619	-0.928424	4.63224	-9.9707	9.24541	-8.76863	1.47701e+15	9.25	7.90505e-323
4.66285	-9.73425	-2.68678	-1.88863	-0.888827	4.60757	-9.4335	9.35	-8.95	1.99965	-3.99928	7.90505e-323
4.79582	-9.45172	-2.69256	-1.99915	-0.896551	4.89179	-9.39473	9.44703	-9.15328	1.47701e+15	9.45	7.90505e-323
4.95557	-9.18163	-2.7071	-2.11056	-0.908498	4.95209	-8.96272	9.5	-9.25	0.999584	-1.99917	7.90505e-323
5.09633	-8.93702	-2.70748	-2.18965	-0.892498	5.20806	-8.88942	9.54157	-9.35195	1.47701e+15	9.55	7.90505e-323
5.30351	-8.70262	-2.72163	-2.29909	-0.903491	5.3785	-8.56768	9.55	-9.5	0	-3.00023	7.90505e-323
5.48169	-8.48837	-2.7171	-2.37384	-0.883911	5.56465	-8.44845	9.54779	-9.64959	1.47701e+15	9.55	7.90505e-323
5.6517	-8.25364	-2.70989	-2.42617	-0.842434	5.64921	-8.02513	9.6	-9.8	0.999005	-2.997	7.90505e-323
5.85539	-8.03354	-2.70787	-2.48599	-0.809898	5.93492	-7.84119	9.64606	-9.9341	1.47701e+15	9.65	7.90505e-323
6.05825	-7.81927	-2.69936	-2.53126	-0.766658	6.13741	-7.63243	9.7	-10.05	0.909855	-1.81969	7.90505e-323
6.27843	-7.6185	-2.6925	-2.57711	-0.727632	6.39143	-7.46358	9.73801	-10.1396	1.47701e+15	9.75	7.90505e-323
6.51912	-7.43397	-2.70802	-2.64048	-0.717051	6.47916	-7.09783	9.75	-10.3	0	-3.00065	7.90505e-323
6.69085	-7.21513	-2.67482	-2.62753	-0.630803	6.68682	-6.93297	9.75524	-10.4732	1.47701e+15	9.75	7.90505e-323
6.95674	-7.05457	-2.68257	-2.68519	-0.618232	7.08741	-6.92602	9.8	-10.6	0.90817	-2.72451	7.90505e-323
7.1733	-6.85576	-2.65612	-2.68123	-0.545525	7.29976	-6.68807	9.85048	-10.7526	1.47701e+15	9.85	7.90505e-323
7.46123	-6.73477	-2.68631	-2.75908	-0.568166	7.53544	-6.5372	9.85	-10.9	0	-2.73074	7.90505e-323
7.69868	-6.57903	-2.67802	-2.77944	-0.531718	7.67559	-6.34628	9.83614	-11.041	1.47701e+15	9.85	7.90505e-323
7.95905	-6.43465	-2.66988	-2.80315	-0.497982	8.03231	-6.28406	9.85	-11.2	0	-2.99965	7.90505e-323
8.17939	-6.25788	-2.64356	-2.78544	-0.430566	8.21488	-6.01843	9.84568	-11.3496	1.47701e+15	9.85	7.90505e-323
8.45532	-6.13676	-2.66302	-2.82681	-0.430818	8.50318	-5.89335	9.85	-11.5	0	-2.99843	7.90505e-323
8.69284	-5.95852	-2.63487	-2.80182	-0.361229	8.77185	-5.74314	9.83206	-11.6307	1.47701e+15	9.85	7.90505e-323
8.92414	-5.78722	-2.61541	-2.77716	-0.301341	9.02394	-5.6024	9.8	-11.75	-1.0003	-2.00061	7.90505e-323
9.18185	-5.64717	-2.63146	-2.79909	-0.299965	9.04088	-5.29691	9.74928	-11.8442	1.47701e+15	9.75	7.90505e-323
9.4072	-5.44906	-2.60306	-2.75453	-0.228007	9.39579	-5.21659	9.7	-12	-1.0004	-3.00119	7.90505e-323
9.64279	-5.26412	-2.58414	-2.7173	-0.168653	9.75019	-5.14652	9.65354	-12.1497	1.47701e+15	9.65	7.90505e-323
9.8677	-5.05431	-2.568	-2.66707	-0.105365	9.9198	-4.86941	9.6	-12.25	-0.999885	-1.99981	7.90505e-323
10.0716	-4.81058	-2.55186	-2.59863	-0.0342538	10.0029	-4.54771	9.54859	-12.3478	1.47701e+15	9.55	7.90505e-323
10.2721	-4.55703	-2.54569	-2.53203	0.026207	10.1981	-4.26556	9.45	-12.45	-1.99803	-1.99805	7.90505e-323
10.5075	-4.35329	-2.55922	-2.51278	0.0370346	10.5985	-4.12247	9.36086	-12.5501	1.47701e+15	9.35	7.90505e-323
10.7138	-4.11259	-2.56384	-2.46526	0.0723972	10.7092	-3.85166	9.3	-12.65	-0.909773	-1.81953	7.90505e-323
10.8663	-3.81464	-2.55299	-2.36454	0.155236	10.795	-3.60617	9.22134	-12.7613	1.47701e+15	9.25	7.90505e-323
11.0548	-3.59104	-2.56462	-2.34387	0.152338	10.9584	-3.30584	9.05	-12.85	-3.99257	-1.99629	7.90505e-323
11.178	-3.27836	-2.56634	-2.24115	0.227617	11.1178	-2.98807	8.84161	-12.9519	1.47701e+15	8.85	7.90505e-323
11.2988	-2.96418	-2.57253	-2.15474	0.278192	11.1491	-2.68183	8.75	-13	-1.8213	-0.910651	7.90505e-323
11.2961	-2.53962	-2.57421	-1.9495	0.437521	11.1188	-2.36202	8.66358	-13.0431	1.47701e+15	8.65	7.90505e-323
11.4328	-2.31248	-2.56702	-1.96305	0.373213	11.2029	-2.09837	8.5	-13.1	-2.997	-0.999005	7.90505e-323
11.4693	-1.98027	-2.57543	-1.86083	0.425709	11.3011	-1.79507	8.35763	-13.1557	1.47701e+15	8.35	7.90505e-323
11.408	-1.61617	-2.58764	-1.70246	0.526567	11.0622	-1.44342	8.2	-13.15	-2.72741	0	7.90505e-323
11.3475	-1.28717	-2.60198	-1.57032	0.596633	11.1658	-1.23674	8.03583	-13.1513	1.47701e+15	8.05	7.90505e-323
11.1758	-0.931016	-2.63246	-1.37156	0.722547	10.8534	-0.929069	7.9	-13.15	-2.72986	0	7.90505e-323
11.0772	-0.655389	-2.63283	-1.27772	0.736933	10.8608	-0.663121	7.76538	-13.1647	1.47701e+15	7.75	7.90505e-323
10.9112	-0.366276	-2.65389	-1.13641	0.794832	10.8451	-0.437482	7.6	-13.2	-2.9979	-0.999304	7.90505e-323
10.6424	-0.0945342	-2.69917	-0.938123	0.901284	10.5062	-0.245062	7.44786	-13.2517	1.47701e+15	7.45	7.90505e-323
10.4551	0.11208	-2.68956	-0.83643	0.906572	10.4884	-0.0812124	7.3	-13.25	-2.72846	0	7.90505e-323
10.1751	0.285156	-2.69876	-0.686485	0.953331	9.92588	0.00395802	7.16011	-13.2382	1.47701e+15	7.15	7.90505e-323
9.87773	0.409608	-2.69978	-0.539231	0.992153	9.63973	0.0585714	7	-13.2	-2.99784	0.999284	7.90505e-323
9.56543	0.487753	-2.69523	-0.392299	1.02519	9.32242	0.112393	6.84891	-13.1493	1.47701e+15	6.85	7.90505e-323
9.25365	0.52827	-2.68386	-0.25175	1.04803	9.0614	0.20077	6.7	-13.1	-2.72787	0.909275	7.90505e-323
8.9787	0.519763	-2.61381	-0.131347	1.04971	8.90199	0.247143	6.55759	-13.0679	1.47701e+15	6.55	7.90505e-323
8.6401	0.515574	-2.67372	0.0152415	1.07465	8.46355	0.258809	6.4	-13.05	-2.72678	0	7.90505e-323
8.31857	0.442241	-2.67101	0.161252	1.09292	8.05161	0.241868	6.26174	-13.0534	1.47701e+15	6.25	7.90505e-323
8.0113	0.339148	-2.67204	0.302862	1.10631	7.78653	0.205765	6.1	-13	-2.72966	0.909888	7.90505e-323
7.73385	0.229631	-2.68404	0.423	1.10391	7.77346	0.0969346	5.94198	-12.9494	1.47701e+15	5.95	7.90505e-323
7.44476	0.156638	-2.72964	0.496485	1.06488	7.15329	0.0425189	5.8	-12.85	-2.99777	1.99851	7.90505e-323
7.21199	-0.0475571	-2.71594	0.646372	1.09529	7.17215	-0.0469302	5.65107	-12.7365	1.47701e+15	5.65	7.90505e-323
6.97698	-0.251622	-2.72066	0.774011	1.09988	6.83008	-0.250179	5.55	-12.7	-1.81798	0.908995	7.90505e-323
6.77551	-0.472976	-2.72093	0.895892	1.10081	6.74798	-0.457727	5.43839	-12.652	1.47701e+15	5.45	7.90505e-323
6.63035	-0.782414	-2.73094	1.07233	1.14837	6.565	-0.754748	5.3	-12.55	-2.72627	1.81753	7.90505e-323
6.5044	-1.0544	-2.73889	1.19735	1.1502	6.44213	-1.11266	5.1307	-12.4684	1.47701e+15	5.15	7.90505e-323
6.40618	-1.30595	-2.73687	1.29812	1.13567	6.39474	-1.36501	5.05	-12.35	-1.8199	1.81989	7.90505e-323
6.36839	-1.61529	-2.76465	1.45076	1.17158	6.24787	-1.61119	4.92985	-12.2499	1.47701e+15	4.95	7.90505e-323
6.39085	-1.94318	-2.79403	1.61858	1.21436	6.41111	-1.93027	4.85	-12.15	-1.99928	1.99929	7.90505e-323
6.41386	-2.22661	-2.76748	1.7294	1.19123	6.53066	-2.26346	4.75915	-12.0666	1.47701e+15	4.75	7.90505e-323
6.43734	-2.50978	-2.75086	1.82965	1.16189	6.27034	-2.51837	4.7	-11.9	-0.908236	2.72471	7.90505e-323
