px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS_laser	NIS_radar
60.8969	22.7714	2.63061	0.390427	0.0561138	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	N/A	1.19572
63.3763	23.426	2.52389	0.241885	-0.0782312	63.3821	23.4069	63.5955	23.4479	2.43482	0.631987	1.36162	N/A
63.4023	23.4362	2.53051	0.241042	-0.0791117	63.7478	23.7442	63.5955	23.4479	2.43482	0.631987	N/A	2.21736
66.3237	23.9929	3.18452	0.145998	-0.0877507	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	1.27611	N/A
66.2661	23.9686	2.39477	0.128289	-0.106227	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	N/A	5.51211
68.2739	24.3481	1.93007	0.14423	-0.0291489	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	1.02763	N/A
68.3249	24.3639	2.4861	0.156236	-0.019093	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	N/A	3.93951
70.8251	24.8767	2.61072	0.212911	0.0292706	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.222573	N/A
70.802	24.8689	2.27071	0.208585	0.0245318	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	N/A	0.917518
72.8945	24.7487	1.92001	-0.0883472	-0.181218	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	3.58292	N/A
72.9224	24.7625	2.24301	-0.0787264	-0.16994	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	N/A	1.32434
74.9973	25.2145	1.96781	0.201968	0.11298	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	5.99757	N/A
74.9975	25.2133	2.02891	0.201917	0.11282	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	N/A	0.050229
77.1106	24.9795	1.98802	-0.154144	-0.180397	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	6.51751	N/A
